City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Longyearbyen,SJ,78.2186,15.6401,19.24,79,20,3.44,few clouds
1,Bambous Virieux,MU,-20.3428,57.7575,75.22,79,15,10.89,few clouds
2,Huainan,CN,32.6264,116.9969,56.39,64,97,5.01,light rain
3,Puerto Ayora,EC,-0.7393,-90.3518,76.96,79,92,9.95,overcast clouds
4,Doka,SD,13.5167,35.7667,85.19,35,55,3.65,broken clouds
5,Mataram,ID,-8.5833,116.1167,76.01,74,75,4.54,broken clouds
6,Hermanus,ZA,-34.4187,19.2345,59.9,69,68,9.44,light rain
7,Busselton,AU,-33.65,115.3333,54.09,83,17,6.91,few clouds
8,Bandarbeyla,SO,9.4942,50.8122,78.64,77,8,10.8,clear sky
9,Bethel,US,41.3712,-73.414,57.67,61,90,6.91,overcast clouds
10,Biu,NG,10.6129,12.1946,73.6,74,90,2.82,light rain
11,Pisco,PE,-13.7,-76.2167,67.01,76,8,7.76,clear sky
12,Cherskiy,RU,68.75,161.3,-6.43,100,100,2.37,overcast clouds
13,Seymchan,RU,62.8833,152.4333,1.17,82,90,3.27,overcast clouds
14,Ancud,CL,-41.8697,-73.8203,60.42,58,15,10.58,few clouds
15,Waingapu,ID,-9.6567,120.2641,78.84,81,73,1.05,broken clouds
16,Salym,RU,60.0625,71.4789,45.16,74,100,17.34,overcast clouds
17,Mongagua,BR,-24.0931,-46.6208,99.64,62,2,7.18,clear sky
18,Miraflores,MX,19.2167,-98.8083,66.96,65,89,2.19,overcast clouds
19,Lebu,CL,-37.6167,-73.65,55.13,64,82,7.25,broken clouds
20,Inongo,CD,-1.95,18.2667,75.65,87,60,5.14,light rain
21,Kroya,ID,-7.6331,109.2461,78.89,87,95,6.4,overcast clouds
22,Parrita,CR,9.5201,-84.3225,90.05,72,70,4.88,broken clouds
23,College,US,64.8569,-147.8028,27.59,90,40,0.0,scattered clouds
24,Deputatskiy,RU,69.3,139.9,-8.99,100,89,3.2,overcast clouds
25,Airai,TL,-8.9266,125.4092,61.74,86,82,1.48,broken clouds
26,Bluff,NZ,-46.6,168.3333,52.7,86,100,3.31,overcast clouds
27,Hilo,US,19.7297,-155.09,72.25,96,90,4.61,heavy intensity rain
